subj,trial,block,date,stim,stim_order,response,rt,param_index,segment_time,pitch
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_111.wav,0,True,1138,5,0.355215,105.627204
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_111.wav,0,True,1138,6,0.426259,86.259873
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_5.wav,1,False,1138,0,0.0,88.556797
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_5.wav,1,False,1138,1,0.071043,120.959384
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_5.wav,1,False,1138,2,0.142086,-116.065822
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_5.wav,1,False,1138,3,0.213129,130.464712
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_5.wav,1,False,1138,4,0.284172,88.167919
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_5.wav,1,False,1138,5,0.355215,75.417329
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_5.wav,1,False,1138,6,0.426259,65.499211
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_196.wav,0,False,4250,0,0.0,-42.342747
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_196.wav,0,False,4250,1,0.071043,-81.868734
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_196.wav,0,False,4250,2,0.142086,-18.906552
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_196.wav,0,False,4250,3,0.213129,-18.852092
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_196.wav,0,False,4250,4,0.284172,52.11667
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_196.wav,0,False,4250,5,0.355215,90.577409
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_196.wav,0,False,4250,6,0.426259,29.77276
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_181.wav,1,True,4250,0,0.0,87.984579
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_181.wav,1,True,4250,1,0.071043,-52.749156
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_181.wav,1,True,4250,2,0.142086,-81.74454
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_181.wav,1,True,4250,3,0.213129,-103.539742
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_181.wav,1,True,4250,4,0.284172,51.14391
